sequence_length,n_qubits,n_hamiltonian_terms,circuit_depth,total_gates,forward_runtime_seconds,simulated
8,3,6,16,30,0.006114006042480469,True
10,8,33,36,131,0.04846549034118652,True
12,13,72,55,268,0.12981843948364258,True
14,23,209,94,719,,False
16,33,413,136,1371,,False
18,43,661,175,2155,,False
20,55,1073,223,3439,,False
25,82,1989,332,6295,,False
30,116,3857,466,12035,,False
35,125,4355,502,13565,,False
40,245,14925,983,45755,,False
45,232,12719,928,39085,,False
50,378,34009,1515,103539,,False
